鄉鎮市區,村里,納稅單位,合計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
永和區,新󿾴里,736,689065,3223,6388,551051,36289,13631,2690,472,62411,4687,4869,151,3202,463422,601435,1479
永和區,和平里,1629,1660308,11379,20321,1321010,82600,48872,8610,1446,140547,2630,13831,778,8283,1130793,1469983,4051
永和區,仁愛里,885,861084,6931,12175,665760,49650,26374,2915,714,81261,1153,6737,1353,6061,563645,758843,3829
永和區,前溪里,715,713278,3503,8880,557373,37301,21631,2876,629,69793,2183,5041,82,3986,477559,633464,1696
永和區,永興里,1046,914308,5108,12024,688807,62259,23896,2379,783,105728,2652,6100,301,4272,571103,796597,1951
永和區,永安里,1490,1709751,8388,32361,1394548,84761,16456,4523,1712,116955,11270,34142,704,3931,1214994,1530248,4507
永和區,雙和里,1302,1286827,7673,15791,1038894,70244,29135,4610,1612,93898,3760,9214,1168,10828,881700,1129188,4680
永和區,得和里,1535,1556835,6875,32761,1195503,97183,24926,7374,1411,160749,4757,18992,176,6129,1017583,1378905,3680
永和區,大新里,927,943997,5271,14266,708928,62538,33798,4282,795,90956,1469,6730,664,14299,605069,840096,3421
永和區,桂林里,1202,1185462,3885,14940,951343,65367,14516,2295,1064,108518,2255,13108,939,7232,810828,1045036,4629
永和區,勵行里,364,297140,4937,4833,212506,18101,24002,1729,234,26623,0,2316,970,890,175969,260603,2545
永和區,光復里,582,513459,2450,4519,427025,30273,8424,1234,588,32523,369,3198,472,2382,360131,446623,2335
永和區,光明里,1009,977007,6400,18978,738066,55897,27840,4677,2803,96625,3138,12757,126,9699,623322,862137,2114
永和區,信義里,947,978748,7724,10677,731786,56979,24759,6698,794,115198,2937,16343,0,4852,621190,868271,1309
永和區,正興里,799,757143,5123,20607,551969,49734,38308,2628,707,62947,972,10763,617,12769,465493,670682,2679
永和區,忠義里,180,119416,798,122,107958,4051,868,262,75,4715,0,565,0,3,85890,97348,39
永和區,新生里,219,154962,1928,2927,131954,5118,1357,70,80,10224,0,1102,0,200,105919,128926,311
永和區,河堤里,1102,1223617,5707,30698,979357,55625,9694,5752,1369,96453,5222,21916,1212,10613,842255,1086795,3898
永和區,民治里,1004,895107,13663,12874,681161,49703,37217,4031,4869,67371,2455,9282,459,12021,567197,781124,2345
永和區,智光里,1058,825840,9230,16650,662864,39160,14684,2626,1045,64949,650,11322,577,2083,542755,706322,2551
永和區,秀和里,1669,1726444,9875,21936,1368350,93509,37173,4923,1481,151383,2008,17227,734,17845,1167439,1524928,4760
永和區,潭安里,1581,1567843,8893,16215,1238077,87448,29732,5080,1573,122957,966,15847,345,40711,1048551,1378245,3365
永和區,永貞里,1192,1241023,11229,14516,899032,68108,35954,6931,761,170054,896,15093,748,17701,767767,1109681,3648
永和區,福林里,1088,963148,7407,16217,753263,58807,22816,2438,1087,84911,1694,7098,1605,5806,635025,844884,4660
永和區,安和里,1356,1373414,6119,26936,1040780,83497,36998,8137,1027,138379,2308,17676,830,10727,884303,1216552,4478
永和區,文化里,805,702179,6619,7142,567738,36838,10522,3157,521,50342,1144,10280,602,7274,471596,606481,2313
永和區,民權里,1549,1574244,6220,16094,1226050,82554,28970,2933,1123,160904,11830,29918,672,6975,1034215,1385508,3222
永和區,民生里,1251,1149851,7133,74068,873777,55829,21045,2639,1914,96381,816,14352,215,1682,725411,1001945,1598
永和區,永福里,996,1043827,6342,14593,820683,61558,10002,3289,1122,113789,1869,6223,186,4172,703561,926729,1900
永和區,河濱里,1049,1106882,8039,19410,896932,51605,15251,6852,794,87930,2091,11983,281,5713,770693,980630,2850
永和區,永元里,1678,1552106,10642,17804,1248523,78993,36307,4384,1175,131359,941,13342,487,8148,1048970,1352699,4076
永和區,秀成里,900,833627,7689,8292,647263,45604,12677,1183,1726,89355,6940,10191,609,2099,538818,725468,2031
永和區,秀林里,1192,1065786,5112,15709,846047,52774,11663,4182,896,99770,10630,10929,20,8052,703426,923111,1831
永和區,秀得里,901,853731,15495,18206,673238,37208,14751,873,738,61585,888,7282,62,23406,561799,742137,1442
